cod_origen,cod_canonico,especie_origen,especie_canonica,cientifico_origen,cientifico_canonico,genero_canonico,accion,confianza,nota
Cj,Cj,Chaetanthera glandulosa,Chaetanthera glandulosa,Chaetanthera glandulosa,Chaetanthera glandulosa,Chaetanthera,sin_cambio,alta,Sin observaciones
ci,ci,Chaetanthera moenchioides,Chaetanthera moenchioides,Chaetanthera moenchioides,Chaetanthera moenchioides,Chaetanthera,sin_cambio,alta,Sin observaciones
pB,pB,chagual,chagual,Puya berteroniana,Puya berteroniana,Puya,sin_cambio,alta,Sin observaciones
pV,pV,chagualillo,chagualillo,Puya venusta,Puya venusta,Puya,sin_cambio,alta,Sin observaciones
dC,dC,chaguar del jote,chaguar del jote,Deuterocohnia chrysantha,Deuterocohnia chrysantha,Deuterocohnia,sin_cambio,alta,Sin observaciones
sk,sk,Chake,Chake,Stipa nardoides,Stipa nardoides,Stipa,sin_cambio,alta,Sin observaciones
dy,dy,Chake,Chake,Deyeuxia breviaristata,Deyeuxia breviaristata,Deyeuxia,sin_cambio,alta,Sin observaciones
Cz,Cz,chamiza,chamiza,Bahia ambrosioides,Bahia ambrosioides,Bahia,sin_cambio,alta,Sin observaciones
GD,GD,chañar,chañar,Geoffroea decorticans,Geoffroea decorticans,Geoffroea,sin_cambio,alta,Sin observaciones
g14,g14,chaura,chaura,Gaultheria pumila,Gaultheria pumila,Gaultheria,sin_cambio,alta,Sin observaciones
Pm,Pm,chaura,chaura,Pernettya mucronata,Pernettya mucronata,Pernettya,sin_cambio,alta,Sin observaciones
Py,Py,chaura,chaura,Pernettya pumila,Pernettya pumila,Pernettya,sin_cambio,alta,Sin observaciones
Gp,Gp,chaura común,chaura común,Gaultheria phillyreifolia,Gaultheria phillyreifolia,Gaultheria,sin_cambio,alta,Sin observaciones
Bi,Bi,chelia,chelia,Berberis ilicifolia,Berberis ilicifolia,Berberis,sin_cambio,alta,Sin observaciones
c15,c15,Chenopodium petiolare,Chenopodium petiolare,Chenopodium petiolare,Chenopodium petiolare,Chenopodium,sin_cambio,alta,Sin observaciones
cv1,cv1,Chenopodium vulvaria,Chenopodium vulvaria,Chenopodium vulvaria,Chenopodium vulvaria,Chenopodium,sin_cambio,alta,Sin observaciones
ag,ag,chepica del sur,chepica del sur,Agrostis alba,Agrostis alba,Agrostis,sin_cambio,alta,Sin observaciones
LZ,LZ,chequén,chequén,Luma chequen,Luma chequen,Luma,sin_cambio,alta,Sin observaciones
Bs,Bs,chilca,chilca,Baccharis salicifolia,Baccharis salicifolia,Baccharis,sin_cambio,alta,Sin observaciones
P2,P2,Chilca,Chilca,Pluchea chingoyo,Pluchea chingoyo,Pluchea,sin_cambio,alta,Sin observaciones
Fm,Fm,chilco,chilco,Fuchsia magellanica,Fuchsia magellanica,Fuchsia,sin_cambio,alta,Sin observaciones
C26,C26,Chiliotrichum fuegianum,Chiliotrichum fuegianum,Chiliotrichum fuegianum,Chiliotrichum fuegianum,Chiliotrichum,sin_cambio,alta,Sin observaciones
fh,fh,chillagua,chillagua,Festuca hypsophila,Festuca hypsophila,Festuca,sin_cambio,alta,Sin observaciones
A27,A27,chin chin,chin chin,Azara microphylla,Azara microphylla,Azara,sin_cambio,alta,Sin observaciones
c30,c30,Chorizanthe commissuralis,Chorizanthe commissuralis,Chorizanthe commissuralis,Chorizanthe commissuralis,Chorizanthe,sin_cambio,alta,Sin observaciones
Ia,Ia,Chorizanthe dasyantha,Chorizanthe dasyantha,Chorizanthe dasyantha,Chorizanthe dasyantha,Chorizanthe,sin_cambio,alta,Sin observaciones
C17,C17,Chorizanthe deserticola,Chorizanthe deserticola,Chorizanthe deserticola,Chorizanthe deserticola,Chorizanthe,sin_cambio,alta,Sin observaciones
Yb,Yb,Chorizanthe frankenioides,Chorizanthe frankenioides,Chorizanthe frankenioides,Chorizanthe frankenioides,Chorizanthe,sin_cambio,alta,Sin observaciones
C24,C24,Chorizanthe intricata,Chorizanthe intricata,Chorizanthe intricata,Chorizanthe intricata,Chorizanthe,sin_cambio,alta,Sin observaciones
Cb,Cb,Chuquiraga acicularis,Chuquiraga acicularis,Chuquiraga acicularis,Chuquiraga acicularis,Chuquiraga,sin_cambio,alta,Sin observaciones
C22,C22,Chuquiraga atacamensis,Chuquiraga atacamensis,Chuquiraga atacamensis,Chuquiraga atacamensis,Chuquiraga,sin_cambio,alta,Sin observaciones
C14,C14,Chuquiraga spinosa,Chuquiraga spinosa,Chuquiraga spinosa,Chuquiraga spinosa,Chuquiraga,sin_cambio,alta,Sin observaciones
C19,C19,Chuquiraga ulicina,Chuquiraga ulicina,Chuquiraga ulicina,Chuquiraga ulicina,Chuquiraga,sin_cambio,alta,Sin observaciones
Cq1,Cq1,Chusquea sp.,Chusquea sp.,Chusquea sp.,Chusquea sp.,Chusquea,sin_cambio,alta,Sin observaciones
CU,CU,ciprés,ciprés,Cupressus sp.,Cupressus sp.,Cupressus,sin_cambio,alta,Sin observaciones
CC,CC,ciprés,ciprés,Cupressus macrocarpa,Cupressus macrocarpa,Cupressus,sin_cambio,alta,Sin observaciones
AC,AC,ciprés de la cordillera,ciprés de la cordillera,Austrocedrus chilensis,Austrocedrus chilensis,Austrocedrus,sin_cambio,alta,Sin observaciones
PU,PU,ciprés de las guaitecas,ciprés de las guaitecas,Pilgerodendron uviferum,Pilgerodendron uviferum,Pilgerodendron,sin_cambio,alta,Sin observaciones
Lk,Lk,ciprés enano,ciprés enano,Lepidothamnus fonkii,Lepidothamnus fonkii,Lepidothamnus,sin_cambio,alta,Sin observaciones
c44,c44,Cistanthe salsoloides,Cistanthe salsoloides,Cistanthe salsoloides,Cistanthe salsoloides,Cistanthe,sin_cambio,alta,Sin observaciones
P1,P1,coicopihue,coicopihue,Philesia magellanica,Philesia magellanica,Philesia,sin_cambio,alta,Sin observaciones
ND,ND,coihue,coihue,Nothofagus dombeyi,Nothofagus dombeyi,Nothofagus,sin_cambio,alta,Sin observaciones
PK,PK,coihue,coihue,Pinus contorta,Pinus contorta,Pinus,sin_cambio,alta,Sin observaciones
NN,NN,coihue de chiloé,coihue de chiloé,Nothofagus nitida,Nothofagus nitida,Nothofagus,sin_cambio,alta,Sin observaciones
NB,NB,coihue de magallanes,coihue de magallanes,Nothofagus betuloides,Nothofagus betuloides,Nothofagus,sin_cambio,alta,Sin observaciones
wt,wt,coirón,coirón,Stipa atacamensis,Stipa atacamensis,Stipa,sin_cambio,alta,Sin observaciones
ss,ss,coirón,coirón,Stipa speciosa,Stipa speciosa,Stipa,sin_cambio,alta,Sin observaciones
fk,fk,coirón,coirón,Festuca kurtziana,Festuca kurtziana,Festuca,sin_cambio,alta,Sin observaciones
fa,fa,coirón,coirón,Festuca acanthophylla,Festuca acanthophylla,Festuca,sin_cambio,alta,Sin observaciones
fr,fr,coirón,coirón,Festuca argentina,Festuca argentina,Festuca,sin_cambio,alta,Sin observaciones
sj,sj,coirón,coirón,Stipa patagonica,Stipa patagonica,Stipa,sin_cambio,alta,Sin observaciones
fp,fp,coirón,coirón,Festuca pallescens,Festuca pallescens,Festuca,sin_cambio,alta,Sin observaciones
fg,fg,coirón,coirón,Festuca gracillima,Festuca gracillima,Festuca,sin_cambio,alta,Sin observaciones
nc,nc,coironcillo,coironcillo,Nassella chilensis,Nassella chilensis,Nassella,sin_cambio,alta,Sin observaciones
Pe,Pe,cola de ratón,cola de ratón,Pleocarphus revolutus,Pleocarphus revolutus,Pleocarphus,sin_cambio,alta,Sin observaciones
cr,cr,cola de zorro,cola de zorro,Cortaderia rudiuscula,Cortaderia rudiuscula,Cortaderia,sin_cambio,alta,Sin observaciones
cz,cz,Cola de zorro,Cola de zorro,Cortaderia atacamensis,Cortaderia atacamensis,Cortaderia,sin_cambio,alta,Sin observaciones
Ce,Ce,colihue,colihue,Chusquea coleu,Chusquea coleu,Chusquea,sin_cambio,alta,Sin observaciones
Cf,Cf,colliguay,colliguay,Colliguaja odorifera,Colliguaja odorifera,Colliguaja,sin_cambio,alta,Sin observaciones
Cl,Cl,colliguay,colliguay,Colliguaja salicifolia,Colliguaja salicifolia,Colliguaja,sin_cambio,alta,Sin observaciones
Cy,Cy,colliguay,colliguay,Colliguaja dombeyana,Colliguaja dombeyana,Colliguaja,sin_cambio,alta,Sin observaciones
Ac,Ac,copa copa,copa copa,Artemisia copa,Artemisia copa,Artemisia,sin_cambio,alta,Sin observaciones
eU,eU,copao,copao,Eulychnia acida,Eulychnia acida,Eulychnia,sin_cambio,alta,Sin observaciones
cB1,cB1,Copiapoa boliviana,Copiapoa boliviana,Copiapoa boliviana,Copiapoa boliviana,Copiapoa,sin_cambio,alta,Sin observaciones
cC1,cC1,Copiapoa columna-alba,Copiapoa columna-alba,Copiapoa columna-alba,Copiapoa columna-alba,Copiapoa,sin_cambio,alta,Sin observaciones
cM1,cM1,Copiapoa melanohystrix,Copiapoa melanohystrix,Copiapoa melanohystrix,Copiapoa melanohystrix,Copiapoa,sin_cambio,alta,Sin observaciones
cT1,cT1,Copiapoa tenebrosa,Copiapoa tenebrosa,Copiapoa tenebrosa,Copiapoa tenebrosa,Copiapoa,sin_cambio,alta,Sin observaciones
ng,ng,coralito,coralito,Nertera granadensis,Nertera granadensis,Nertera,sin_cambio,alta,Sin observaciones
AN,AN,corcolén,corcolén,Azara dentata,Azara dentata,Azara,sin_cambio,alta,Sin observaciones
cB,cB,Corryocactus brevistylus,Corryocactus brevistylus,Corryocactus brevistylus,Corryocactus brevistylus,Corryocactus,sin_cambio,alta,Sin observaciones
os,os,cortadera,cortadera,Cortaderia speciosa,Cortaderia speciosa,Cortaderia,sin_cambio,alta,Sin observaciones
c55,c55,cortaderia,cortaderia,Cortaderia egmontiana,Cortaderia egmontiana,Cortaderia,sin_cambio,alta,Sin observaciones
c2,c2,Cortaderia sp.,Cortaderia sp.,Cortaderia sp.,Cortaderia sp.,Cortaderia,sin_cambio,alta,Sin observaciones
bc,bc,costilla de vaca,costilla de vaca,Blechnum chilensis,Blechnum chilensis,Blechnum,sin_cambio,alta,Sin observaciones
cc2,cc2,Cotula coronopifolia,Cotula coronopifolia,Cotula coronopifolia,Cotula coronopifolia,Cotula,sin_cambio,alta,Sin observaciones
c1,c1,Cotula scariosa,Cotula scariosa,Cotula scariosa,Cotula scariosa,Cotula,sin_cambio,alta,Sin observaciones
ka,ka,Crassula peduncularis,Crassula peduncularis,Crassula peduncularis,Crassula peduncularis,Crassula,sin_cambio,alta,Sin observaciones
C1,C1,cratego,cratego,Crataegus monogyna,Crataegus monogyna,Crataegus,sin_cambio,alta,Sin observaciones
Hv,Hv,crespilla,crespilla,Haplopappus parvifolius,Haplopappus parvifolius,Haplopappus,sin_cambio,alta,Sin observaciones
xa,xa,Cristaria andicola,Cristaria andicola,Cristaria andicola,Cristaria andicola,Cristaria,sin_cambio,alta,Sin observaciones
zs,zs,Cristaria aspera,Cristaria aspera,Cristaria aspera,Cristaria aspera,Cristaria,sin_cambio,alta,Sin observaciones
kf,kf,Cristaria cyanea,Cristaria cyanea,Cristaria cyanea,Cristaria cyanea,Cristaria,sin_cambio,alta,Sin observaciones
zv,zv,Cristaria glaucophylla,Cristaria glaucophylla,Cristaria glaucophylla,Cristaria glaucophylla,Cristaria,sin_cambio,alta,Sin observaciones
kg,kg,Cristaria gracilis,Cristaria gracilis,Cristaria gracilis,Cristaria gracilis,Cristaria,sin_cambio,alta,Sin observaciones
C25,C25,Cristaria integerrima,Cristaria integerrima,Cristaria integerrima,Cristaria integerrima,Cristaria,sin_cambio,alta,Sin observaciones
c45,c45,Cristaria viridiluteola,Cristaria viridiluteola,Cristaria viridiluteola,Cristaria viridiluteola,Cristaria,sin_cambio,alta,Sin observaciones
Cr,Cr,Croton chilensis,Croton chilensis,Croton chilensis,Croton chilensis,Croton,sin_cambio,alta,Sin observaciones
Cs,Cs,crucero,crucero,Colletia spinossisima,Colletia spinossisima,Colletia,sin_cambio,alta,Sin observaciones
Xh,Xh,"crucero, cunco rojo","crucero, cunco rojo",Colletia hystrix,Colletia hystrix,Colletia,sin_cambio,alta,Sin observaciones
cg,cg,Cryptantha glomerata,Cryptantha glomerata,Cryptantha glomerata,Cryptantha glomerata,Cryptantha,sin_cambio,alta,Sin observaciones
c70,c70,Cryptantha hispida,Cryptantha hispida,Cryptantha hispida,Cryptantha hispida,Cryptantha,sin_cambio,alta,Sin observaciones
c16,c16,Cryptantha parviflora,Cryptantha parviflora,Cryptantha parviflora,Cryptantha parviflora,Cryptantha,sin_cambio,alta,Sin observaciones
Zc,Zc,cuerno,cuerno,Adesmia aegiceras,Adesmia aegiceras,Adesmia,sin_cambio,alta,Sin observaciones
Sk,Sk,cuerno de cabra,cuerno de cabra,Skytanthus acutus,Skytanthus acutus,Skytanthus,sin_cambio,alta,Sin observaciones
Pg,Pg,culén,culén,Otholobium glandulosum,Otholobium glandulosum,Otholobium,sin_cambio,alta,Sin observaciones
mB,mB,Cumulopuntia echinacea,Cumulopuntia echinacea,Cumulopuntia echinacea,Cumulopuntia echinacea,Cumulopuntia,sin_cambio,alta,Sin observaciones
cV,cV,Cumulopuntia sphaerica,Cumulopuntia sphaerica,Cumulopuntia sphaerica,Cumulopuntia sphaerica,Cumulopuntia,sin_cambio,alta,Sin observaciones
cT,cT,Cylindropuntia tunicata,Cylindropuntia tunicata,Cylindropuntia tunicata,Cylindropuntia tunicata,Cylindropuntia,sin_cambio,alta,Sin observaciones
ca,ca,Cynara cardunculus,Cynara cardunculus,Cynara cardunculus,Cynara cardunculus,Cynara,sin_cambio,alta,Sin observaciones
c49,c49,Cyperus laevigatus,Cyperus laevigatus,Cyperus laevigatus,Cyperus laevigatus,Cyperus,sin_cambio,alta,Sin observaciones
C6,C6,Cytisus striatus,Cytisus striatus,Cytisus striatus,Cytisus striatus,Cytisus,sin_cambio,alta,Sin observaciones
d21,d21,Datura sp.,Datura sp.,Datura sp.,Datura sp.,Datura,sin_cambio,alta,Sin observaciones
Mn,Mn,daudapo,daudapo,Myrteola nummularia,Myrteola nummularia,Myrteola,sin_cambio,alta,Sin observaciones
ef,ef,dedal de oro,dedal de oro,Eschscholzia californica,Eschscholzia californica,Eschscholzia,sin_cambio,alta,Sin observaciones
du,du,dedalera,dedalera,Digitalis purpurea,Digitalis purpurea,Digitalis,sin_cambio,alta,Sin observaciones
dw,dw,Deschampsia cordillerarum,Deschampsia cordillerarum,Deschampsia cordillerarum,Deschampsia cordillerarum,Deschampsia,sin_cambio,alta,Sin observaciones
a43,a43,Deschampsia flexuosa,Deschampsia flexuosa,Deschampsia flexuosa,Deschampsia flexuosa,Deschampsia,sin_cambio,alta,Sin observaciones
d12,d12,Deschampsia sp.,Deschampsia sp.,Deschampsia sp.,Deschampsia sp.,Deschampsia,sin_cambio,alta,Sin observaciones
d3,d3,Descurainia sp.,Descurainia sp.,Descurainia sp.,Descurainia sp.,Descurainia,sin_cambio,alta,Sin observaciones
ÃÂ,(recuperar del origen),Descurainia stricta,Descurainia stricta,Descurainia stricta,Descurainia stricta,Descurainia,codificacion,baja,Código mojibake de doble codificación. Recuperar el código real desde la capa; no inventarlo.
dD,dD,Desfontainia fulgens,Desfontainia fulgens,Desfontainia fulgens,Desfontainia fulgens,Desfontainia,sin_cambio,alta,Sin observaciones
d4,d4,Deyeuxia brevifolia,Deyeuxia brevifolia,Deyeuxia brevifolia,Deyeuxia brevifolia,Deyeuxia,sin_cambio,alta,Sin observaciones
d18,d18,Deyeuxia cabrerae,Deyeuxia cabrerae,Deyeuxia cabrerae,Deyeuxia cabrerae,Deyeuxia,sin_cambio,alta,Sin observaciones
ñq,ñq,Deyeuxia chrysostachya,Deyeuxia chrysostachya,Deyeuxia chrysostachya,Deyeuxia chrysostachya,Deyeuxia,sin_cambio,alta,Sin observaciones
d11,d11,Deyeuxia crispa,Deyeuxia crispa,Deyeuxia crispa,Deyeuxia crispa,Deyeuxia,sin_cambio,alta,Sin observaciones
dv,dv,Deyeuxia curvula,Deyeuxia curvula,Deyeuxia curvula,Deyeuxia curvula,Deyeuxia,sin_cambio,alta,Sin observaciones
d1,d1,Deyeuxia deserticola,Deyeuxia deserticola,Deyeuxia deserticola,Deyeuxia deserticola,Deyeuxia,sin_cambio,alta,Sin observaciones
dn,dn,Deyeuxia eminens,Deyeuxia eminens,Deyeuxia eminens,Deyeuxia eminens,Deyeuxia,sin_cambio,alta,Sin observaciones
d6,d6,Deyeuxia rigescens,Deyeuxia rigescens,Deyeuxia rigescens,Deyeuxia rigescens,Deyeuxia,sin_cambio,alta,Sin observaciones
d10,d10,Deyeuxia velutina,Deyeuxia velutina,Deyeuxia velutina,Deyeuxia velutina,Deyeuxia,sin_cambio,alta,Sin observaciones
di,di,dicha,dicha,Cardionema ramosissima,Cardionema ramosissima,Cardionema,sin_cambio,alta,Sin observaciones
lh,lh,dicha,dicha,Lastarriaea chilensis,Lastarriaea chilensis,Lastarriaea,sin_cambio,alta,Sin observaciones
d14,d14,Dicranoloma sp.,Dicranoloma sp.,Dicranoloma sp.,Dicranoloma sp.,Dicranoloma,sin_cambio,alta,Sin observaciones
Dm,Dm,Diplostephium meyenii,Diplostephium meyenii,Diplostephium meyenii,Diplostephium meyenii,Diplostephium,sin_cambio,alta,Sin observaciones
dd,dd,Distichia muscoides,Distichia muscoides,Distichia muscoides,Distichia muscoides,Distichia,sin_cambio,alta,Sin observaciones
dh,dh,Distichlis humilis,Distichlis humilis,Distichlis humilis,Distichlis humilis,Distichlis,sin_cambio,alta,Sin observaciones
c25,c25,doca,doca,Carpobrotus chilensis,Carpobrotus chilensis,Carpobrotus,sin_cambio,alta,Sin observaciones
df,df,Donatia fascicularis,Donatia fascicularis,Donatia fascicularis,Donatia fascicularis,Donatia,sin_cambio,alta,Sin observaciones
Ci,Ci,duraznillo,duraznillo,Colliguaja integerrima,Colliguaja integerrima,Colliguaja,sin_cambio,alta,Sin observaciones
e15,e15,Eleocharis lechleri,Eleocharis lechleri,Eleocharis lechleri,Eleocharis lechleri,Eleocharis,sin_cambio,alta,Sin observaciones
e16,e16,Eleocharis melanomphala,Eleocharis melanomphala,Eleocharis melanomphala,Eleocharis melanomphala,Eleocharis,sin_cambio,alta,Sin observaciones
ep1,ep1,Eleocharis pachycarpa,Eleocharis pachycarpa,Eleocharis pachycarpa,Eleocharis pachycarpa,Eleocharis,sin_cambio,alta,Sin observaciones
el,el,Eleocharis pseudoalbibracteata,Eleocharis pseudoalbibracteata,Eleocharis pseudoalbibracteata,Eleocharis pseudoalbibracteata,Eleocharis,sin_cambio,alta,Sin observaciones
e17,e17,Eleocharis sp.,Eleocharis sp.,Eleocharis sp.,Eleocharis sp.,Eleocharis,sin_cambio,alta,Sin observaciones
e11,e11,Eleocharis tucumanensis,Eleocharis tucumanensis,Eleocharis tucumanensis,Eleocharis tucumanensis,Eleocharis,sin_cambio,alta,Sin observaciones
e20,e20,Elymus magellanicus,Elymus magellanicus,Elymus magellanicus,Elymus magellanicus,Elymus,sin_cambio,alta,Sin observaciones
QR,QR,encina,encina,Quercus robur,Quercus robur,Quercus,sin_cambio,alta,Sin observaciones
yg,yg,Equisetum bogotense,Equisetum bogotense,Equisetum bogotense,Equisetum bogotense,Equisetum,sin_cambio,alta,Sin observaciones
e10,e10,Eragrostis nigricans,Eragrostis nigricans,Eragrostis nigricans,Eragrostis nigricans,Eragrostis,sin_cambio,alta,Sin observaciones
E4,E4,Eremodraba intricatissima,Eremodraba intricatissima,Eremodraba intricatissima,Eremodraba intricatissima,Eremodraba,sin_cambio,alta,Sin observaciones
e18,e18,Erodium malacoides,Erodium malacoides,Erodium malacoides,Erodium malacoides,Erodium,sin_cambio,alta,Sin observaciones
ep,ep,Eryngium paniculatum,Eryngium paniculatum,Eryngium paniculatum,Eryngium paniculatum,Eryngium,sin_cambio,alta,Sin observaciones
Ep,Ep,Escallonia alpina,Escallonia alpina,Escallonia alpina,Escallonia alpina,Escallonia,sin_cambio,alta,Sin observaciones
Eg,Eg,Escallonia angustifolia,Escallonia angustifolia,Escallonia angustifolia,Escallonia angustifolia,Escallonia,sin_cambio,alta,Sin observaciones
Ep1,Ep1,Escallonia rosea,Escallonia rosea,Escallonia rosea,Escallonia rosea,Escallonia,sin_cambio,alta,Sin observaciones
E5,E5,Escallonia serrata,Escallonia serrata,Escallonia serrata,Escallonia serrata,Escallonia,sin_cambio,alta,Sin observaciones
Ep2,Ep2,Escallonia sp.,Escallonia sp.,Escallonia sp.,Escallonia sp.,Escallonia,sin_cambio,alta,Sin observaciones
Af,Af,espinillo,espinillo,Adesmia confusa,Adesmia confusa,Adesmia,sin_cambio,alta,Sin observaciones
ES,ES,espino,espino,Acacia caven,Acacia caven,Acacia,sin_cambio,alta,Sin observaciones
EG,EG,eucalipto,eucalipto,Eucalyptus globulus,Eucalyptus globulus,Eucalyptus,sin_cambio,alta,Sin observaciones
EW,EW,eucalipto,eucalipto,Eucalyptus sp.,Eucalyptus sp.,Eucalyptus,sin_cambio,alta,Sin observaciones
EU,EU,eucalipto,eucalipto,Eucalyptus camaldulensis,Eucalyptus camaldulensis,Eucalyptus,sin_cambio,alta,Sin observaciones
EV,EV,eucalipto,eucalipto,Eucalyptus viminalis,Eucalyptus viminalis,Eucalyptus,sin_cambio,alta,Sin observaciones
NI,NI,eucalipto,eucalipto,Eucalyptus nitens,Eucalyptus nitens,Eucalyptus,sin_cambio,alta,Sin observaciones
ED,ED,eucalipto,eucalipto,Eucalyptus delegatensis,Eucalyptus delegatensis,Eucalyptus,sin_cambio,alta,Sin observaciones
AH,AH,eucalipto,eucalipto,Eucalyptus regnans,Eucalyptus regnans,Eucalyptus,sin_cambio,alta,Sin observaciones
eX,eX,Eulychnia castanea,Eulychnia castanea,Eulychnia castanea,Eulychnia castanea,Eulychnia,sin_cambio,alta,Sin observaciones
eC1,eC1,Eulychnia chorosensis,Eulychnia chorosensis,Eulychnia chorosensis,Eulychnia chorosensis,Eulychnia,sin_cambio,alta,Sin observaciones
eI,eI,Eulychnia iquiquensis,Eulychnia iquiquensis,Eulychnia iquiquensis,Eulychnia iquiquensis,Eulychnia,sin_cambio,alta,Sin observaciones
eS,eS,Eulychnia saint-pieana,Eulychnia saint-pieana,Eulychnia saint-pieana,Eulychnia saint-pieana,Eulychnia,sin_cambio,alta,Sin observaciones
eZ,eZ,Eulychnia sp.,Eulychnia sp.,Eulychnia sp.,Eulychnia sp.,Eulychnia,sin_cambio,alta,Sin observaciones
eT1,eT1,Eulychnia taltalensis,Eulychnia taltalensis,Eulychnia taltalensis,Eulychnia taltalensis,Eulychnia,sin_cambio,alta,Sin observaciones
en,en,Euphorbia collina,Euphorbia collina,Euphorbia collina,Euphorbia collina,Euphorbia,sin_cambio,alta,Sin observaciones
Fw,Fw,Fabiana ramulosa,Fabiana ramulosa,Fabiana ramulosa,Fabiana ramulosa,Fabiana,sin_cambio,alta,Sin observaciones
F1,F1,Fabiana sp.,Fabiana sp.,Fabiana sp.,Fabiana sp.,Fabiana,sin_cambio,alta,Sin observaciones
Fq,Fq,Fabiana squamata,Fabiana squamata,Fabiana squamata,Fabiana squamata,Fabiana,sin_cambio,alta,Sin observaciones
Fs,Fs,Fabiana stephanii,Fabiana stephanii,Fabiana stephanii,Fabiana stephanii,Fabiana,sin_cambio,alta,Sin observaciones
Fz,Fz,Fabiana viscosa,Fabiana viscosa,Fabiana viscosa,Fabiana viscosa,Fabiana,sin_cambio,alta,Sin observaciones
fs,fs,Fagonia chilensis,Fagonia chilensis,Fagonia chilensis,Fagonia chilensis,Fagonia,sin_cambio,alta,Sin observaciones
RP,RP,falsa acacia,falsa acacia,Robinia pseudoacacia,Robinia pseudoacacia,Robinia,sin_cambio,alta,Sin observaciones
f5,f5,Festuca arundinacea,Festuca arundinacea,Festuca arundinacea,Festuca arundinacea,Festuca,sin_cambio,alta,Sin observaciones
f14,f14,Festuca contracta,Festuca contracta,Festuca contracta,Festuca contracta,Festuca,sin_cambio,alta,Sin observaciones
fm,fm,Festuca magellanica,Festuca magellanica,Festuca magellanica,Festuca magellanica,Festuca,sin_cambio,alta,Sin observaciones
fn,fn,FesTuca nardifolia,FesTuca nardifolia,FesTuca nardifolia,Festuca nardifolia,Festuca,ortografia,alta,Mayúscula intercalada en el género.
f10,f10,Festuca orthophylla,Festuca orthophylla,Festuca orthophylla,Festuca orthophylla,Festuca,sin_cambio,alta,Sin observaciones
f12,f12,Festuca purpurascens,Festuca purpurascens,Festuca purpurascens,Festuca purpurascens,Festuca,sin_cambio,alta,Sin observaciones
f4,f4,FesTuca rigidifolia,FesTuca rigidifolia,FesTuca rigidifolia,Festuca rigidifolia,Festuca,ortografia,alta,Mayúscula intercalada en el género.
fb,fb,Festuca rubra,Festuca rubra,Festuca rubra,Festuca rubra,Festuca,sin_cambio,alta,Sin observaciones
fx,fx,Festuca sp.,Festuca sp.,Festuca sp.,Festuca sp.,Festuca,sin_cambio,alta,Sin observaciones
f7,f7,Festuca tunicata,Festuca tunicata,Festuca tunicata,Festuca tunicata,Festuca,sin_cambio,alta,Sin observaciones
f8,f8,Festuca werdermannii,Festuca werdermannii,Festuca werdermannii,Festuca werdermannii,Festuca,sin_cambio,alta,Sin observaciones
Ya,Ya,flor del minero,flor del minero,Centaurea floccosa,Centaurea floccosa,Centaurea,sin_cambio,alta,Sin observaciones
KA,KA,frangel,frangel,Kageneckia angustifolia,Kageneckia angustifolia,Kageneckia,sin_cambio,alta,Sin observaciones
f9,f9,Frankenia salina,Frankenia salina,Frankenia salina,Frankenia salina,Frankenia,sin_cambio,alta,Sin observaciones
re,re,frutilla,frutilla,Rubus geoides,Rubus geoides,Rubus,sin_cambio,alta,Sin observaciones
fc,fc,frutilla silvestre,frutilla silvestre,Potentilla chiloensis,Potentilla chiloensis,Potentilla,sin_cambio,alta,Sin observaciones
fi,fi,Fuertesimalva chilensis,Fuertesimalva chilensis,Fuertesimalva chilensis,Fuertesimalva chilensis,Fuertesimalva,sin_cambio,alta,Sin observaciones
LF,LF,fuinque,fuinque,Lomatia ferruginea,Lomatia ferruginea,Lomatia,sin_cambio,alta,Sin observaciones
fa1,fa1,Fumaria agraria,Fumaria agraria,Fumaria agraria,Fumaria agraria,Fumaria,sin_cambio,alta,Sin observaciones
ga,ga,galega,galega,Galega officinalis,Galega officinalis,Galega,sin_cambio,alta,Sin observaciones
gd,gd,Galium aparine,Galium aparine,Galium aparine,Galium aparine,Galium,sin_cambio,alta,Sin observaciones
Yñ,Yñ,Gaultheria mucronata,Gaultheria mucronata,Gaultheria mucronata,Gaultheria mucronata,Gaultheria,sin_cambio,alta,Sin observaciones
Gp1,Gp1,Gaultheria poeppigii,Gaultheria poeppigii,Gaultheria poeppigii,Gaultheria poeppigii,Gaultheria,sin_cambio,alta,Sin observaciones
v10,v10,Glandularia gynobasis,Glandularia gynobasis,Glandularia gynobasis,Glandularia gynobasis,Glandularia,sin_cambio,alta,Sin observaciones
gr,gr,Gnaphalium robustum,Gnaphalium robustum,Gnaphalium robustum,Gnaphalium robustum,Gnaphalium,sin_cambio,alta,Sin observaciones
G11,G11,Gochnatia foliolosa,Gochnatia foliolosa,Gochnatia foliolosa,Gochnatia foliolosa,Gochnatia,sin_cambio,alta,Sin observaciones
dp,dp,grama salada,grama salada,Distichlis spicata,Distichlis spicata,Distichlis,sin_cambio,alta,Sin observaciones
GU,GU,guayacán,guayacán,Porlieria chilensis,Porlieria chilensis,Porlieria,sin_cambio,alta,Sin observaciones
Vt,Vt,guindilla,guindilla,Guindilia trinervis,Guindilia trinervis,Guindilia,sin_cambio,alta,Sin observaciones
Ez,Ez,guindo santo,guindo santo,Ephedra chilensis,Ephedra chilensis,Ephedra,sin_cambio,alta,Sin observaciones
